essential,xorg,X server
essential,xorg-xinit,Display server boot
essential,man,Manual
essential,man-pages,Manual pages
network,openssh,Remote login tool for SSH protocol
network,networkmanager,Network manager
tools,rsync,Synchronizing files across computers
tools,arandr,xrandr GUI
tools,xsel,Manipulate the X selection
tools,fzf,Command line fuzzy finder
tools,scrot,Screenshot software
tools,udiskie,Automount devices
tools,lxappearance,Theme switcher for GTK+
tools,xcape,Configure modifier keys to act as other keys
tools,ripgrep,Faster alternative to grep
tools,htop,Interactive process viewer
tools,ranger,Simple vim-like file manager
tools,bat,Colorful cat
tools,p7zip,7z
tools,imagemagic,Image viewing/manipulation program
tmux,tmux,Terminal multiplexer
tmux,tmuxp,Configure tmux session + windows + panes via config files
notifier,dunst,Notification system
notifier,libnotify,Notifier
git,git,Version control system
git,diff-so-fancy,Human readable git diff
i3,i3-wm,i3 window tile manager
i3,i3status,i3 status bar
i3,i3lock,i3 lock monitor
i3,dmenu,Dynamic menu for X
i3,feh,X11 image viewer
i3,arc-gtk-theme,Desktop themes
zsh,zsh,Unix shell (Z-Shell)
zsh,zsh-completions,Additional completions for Zsh
zsh,zsh-syntax-highlighting,Syntax highlighting for ZSH
zsh,powerline-fonts,Needed for agnoster prompt in zsh
zsh,nerd-fonts-roboto-mono,Terminal font
neovim,neovim,Editor... and much more
neovim,python-neovim,Python for neovim
neovim,python2-neovim,Python2 for neovim (AUR)
neovim,ruby-neovim,Ruby for neovim (AUR)
neovim,nodejs-neovim,Nodejs for neovim (AUR)
js,nodejs,Nodejs (for coc.vim)
js,yarn,Dependency manager (for coc.vim)
urxvt,rxvt-unicode,Terminal Urxvt
urxvt,urxvt-tabbedex-mina86-git,Improved tabs for Urxvt (AUR)
firefox,firefox,Browser Firefox
qutebrowser,qutebrowser,Qutebrowser
lynx,lynx,Text-based browser
other,arandr,duplicates I was too lazy to sort
other,autoconf,duplicates I was too lazy to sort
other,automake,duplicates I was too lazy to sort
other,base,duplicates I was too lazy to sort
other,bat,duplicates I was too lazy to sort
other,binutils,duplicates I was too lazy to sort
other,bison,duplicates I was too lazy to sort
other,bpytop,duplicates I was too lazy to sort
other,coreshot,duplicates I was too lazy to sort
other,dialog,duplicates I was too lazy to sort
other,diff-so-fancy,duplicates I was too lazy to sort
other,dmenu,duplicates I was too lazy to sort
other,dunst,duplicates I was too lazy to sort
other,efibootmgr,duplicates I was too lazy to sort
other,exa,duplicates I was too lazy to sort
other,fakeroot,duplicates I was too lazy to sort
other,feh,duplicates I was too lazy to sort
other,file,duplicates I was too lazy to sort
other,findutils,duplicates I was too lazy to sort
other,firefox,duplicates I was too lazy to sort
other,flameshot,duplicates I was too lazy to sort
other,flex,duplicates I was too lazy to sort
other,fzf,duplicates I was too lazy to sort
other,gawk,duplicates I was too lazy to sort
other,gcc,duplicates I was too lazy to sort
other,gettext,duplicates I was too lazy to sort
other,git,duplicates I was too lazy to sort
other,grep,duplicates I was too lazy to sort
other,groff,duplicates I was too lazy to sort
other,grub,duplicates I was too lazy to sort
other,gzip,duplicates I was too lazy to sort
other,htop,duplicates I was too lazy to sort
other,i3-wm,duplicates I was too lazy to sort
other,i3lock,duplicates I was too lazy to sort
other,i3status,duplicates I was too lazy to sort
other,imagemagick,duplicates I was too lazy to sort
other,libnotify,duplicates I was too lazy to sort
other,libtool,duplicates I was too lazy to sort
other,linux,duplicates I was too lazy to sort
other,linux-firmware,duplicates I was too lazy to sort
other,m4,duplicates I was too lazy to sort
other,make,duplicates I was too lazy to sort
other,man-db,duplicates I was too lazy to sort
other,man-pages,duplicates I was too lazy to sort
other,neofetch,duplicates I was too lazy to sort
other,neovim,duplicates I was too lazy to sort
other,nerd-fonts-roboto-mono,duplicates I was too lazy to sort
other,networkmanager,duplicates I was too lazy to sort
other,openssh,duplicates I was too lazy to sort
other,p7zip,duplicates I was too lazy to sort
other,pacman,duplicates I was too lazy to sort
other,patch,duplicates I was too lazy to sort
other,perl-image-exiftool,duplicates I was too lazy to sort
other,pkgconf,duplicates I was too lazy to sort
other,powerline-fonts,duplicates I was too lazy to sort
other,python-pynvim,duplicates I was too lazy to sort
other,ranger,duplicates I was too lazy to sort
other,ripgrep,duplicates I was too lazy to sort
other,rxvt-unicode,duplicates I was too lazy to sort
other,scrot,duplicates I was too lazy to sort
other,sed,duplicates I was too lazy to sort
other,sudo,duplicates I was too lazy to sort
